topic,java,python,javaNote,pythonNote
Declaration,"Map<String, String> myMap = new HashMap<>();
","my_dict = {'key1': 'value1', 'key2': 'value2'}
",,
Adding and Updating Entries,"Map<String, String> myMap = new HashMap<>();
myMap.put(""new_key"", ""new_value"");
myMap.put(""key1"", ""updated_value"");
","my_dict = {'key1': 'value1', 'key2': 'value2'}
my_dict['new_key'] = 'new_value'
my_dict.update({'key1': 'updated_value'}) ",,The `update` method takes another `dict` as input.
Accessing Keys and Values,"Map<String, String> myMap = new HashMap<>();
myMap.put(""key1"", ""value1"");
String value = myMap.get(""key1"");
Set<String> keySet = myMap.keySet();
Collection<String> values = myMap.values();
Set<Map.Entry<String,String>> entries = myMap.entrySet();

","my_dict = {'key1': 'value1', 'key2': 'value2'}
value = my_dict['key1'] 
value = my_dict.get('key1') 
keys = my_dict.keys()
values = my_dict.values()
items = my_dict.items() # A list of key-value tuples",,"Indexing and the `get` method both return the value of the specified key. However, if the key is not present, indexing will throw an error while the `get` method will just return `None`"
Removing Entries,"Map<String, String> myMap = new HashMap<>();
myMap.put(""key1"", ""value1"");
myMap.remove(""key1"");","my_dict = {'key1': 'value1', 'key2': 'value2'}
my_dict.pop('key1')
del my_dict['key2']",,"The `del` keyword and the `pop` method both remove the element with the specified key. However, the `pop` method returns the element while `del` keyword does not."
