topic,java,python,javaNote,pythonNote
Single-line Comments,// This is a comment,# This is a comment,,
Multi-line Comments,"/* This is a comment 
that spans multiple lines */",""" "" "" This is a comment 
that spans multiple lines "" "" """,,
