topic,java,python,javaNote,pythonNote
Statement Separators,"// Uses the semicolon (;)
System.out.println(""Hello, World!"");
","# Uses the newline character (\n)
print(""Hello, World!"")",,
 Code Block Delimiters,"// code blocks are enclosed within curly braces {}
if (x > 0) {
    System.out.println(""Positive"");
} else {
    System.out.println(""Non-positive"");
}

","# code blocks are defined by indentation
if x > 0:
    print(""Positive"")
else:
    print(""Non-positive"")",,
